-92.02995,32.51552,22.2
-104.58,50.408,20.1
-70.95005,43.98992,10.6
-86.998,41.45348,17.8
17.92,59.664,13
-80.616,-5.206,26
-64.478,45.067,7.4
-83.83045,34.27209,19.4
-89.34523,43.14068,21.7
-90.526,14.585,19
-61.36806,45.65667,4
-94.12733,46.40206,14.4
-120.15049,48.42819,23.9
2.114,48.752,17
12.307,44.224,14
-92.47482,48.26014,12
-92.81405,33.22072,21.1
-121.938,38.25,21.3
59.29,32.894,14
30.083,40.735,15
-86.29981,41.36364,16
-100.417,48.83,15
-84.98264,32.3239,23.6
-97.54102,28.04183,26
-97.84417,53.95833,14
-135.059,60.71,10
-122.57624,47.26744,18.3
-57.895,-34.972,6
-98.23164,38.75024,21
-126.796,65.278,16
1.182,49.383,16
-163.5323,63.0334,6.7
159.077,-31.538,21
-160.191,62.647,6.7
-112.024,54.769,22.7
30.14,-1.969,17
-105.16046,40.16117,21.7
-8.925,52.702,13
-83.75697,40.13144,17
-1.07,43.69,18
-96.078,64.306,4
-62.169,-38.725,3
-64.701,-21.556,8
-164.548,67.731,0.6
-149.837,61.25,8
-70.72784,41.90852,12.2
20.291,44.824,13
-166.543,53.896,6.1
-122.87702,42.37503,29.4
-104.71,50.201,20.7
8.973,39.354,14
158.21,6.986,32
-79.50514,35.70582,14.5
-97.268,37.622,22.7
-100.862,43.259,23
-1.978,32.514,23
-88.543,32.546,21.1
-9.036,38.704,17
-94.19183,34.54137,19.6
74.404,31.522,29
-104.25845,32.33355,32.8
-122.60139,58.83722,7
-173.9628,-18.585,26
-71.229,47.562,6.3
-99.7665,30.51046,28.3
81.738,21.182,31
-72.25107,40.96053,10.2
-95.64692,45.33099,16
-95.34049,48.93181,12
-99.89147,39.84966,16
72.859,19.1,31
1.829,61.206,11
-82.88202,32.0942,21
-122.90494,46.97371,19.4
15.447,46.997,13
34.155,61.885,6
-16.774,32.698,18
-83.06731,40.61576,17.8
23.945,37.936,20
-157.703,-19.842,26
102.564,17.987,30
65.167,40.116,17
-105.715,75.377,-12.1
-105.91132,40.09038,15
-83.53333,35.85679,22
-77.00138,36.98271,16.7
23.968,56.924,14
-101.39551,35.69502,14.4
-2.163,47.312,19
-85.06526,42.93975,11
-76.371,40.70716,6
-90.99851,45.49345,17
-118.2417,34.0677,19
6.386,43.383,15
-83.52139,42.24196,12.8
9.427,52.457,20
-128.832,60.116,12
-84.25945,32.95396,22
-54.672,-20.469,18
-115.597,46.144,21.7
-119.649,49.563,24.6
-77.71503,38.58764,13.2
-157.159,66.886,12.2
82.111,21.988,27
23.414,42.694,13
135.184,48.527,19
-84.69718,32.93621,21.1
-90.38644,47.83664,9
-108.38507,43.71778,21.9
30.798,36.9,17
14.085,55.922,14
58.756,53.393,17
-77.113,-12.024,22
-96.51218,31.64462,20.6
-78.98842,36.28405,14
31.405,30.133,20
-119.441,49.028,27.3
-89.33835,31.47268,23.9
10.331,45.429,19
51.315,25.117,28.1
-78.354,-0.124,15
-104.84843,39.55989,22.2
4.904,48.631,15
-112.15539,35.94583,23.9
-81.46341,41.03733,18.3
73.8631,15.7426,26
67.139,24.902,28
160.047,-9.43,29
-46.655,-23.627,17
14.538,50.123,15
-158.034,-9.01,30
-68.42694,58.09611,5
77.117,28.567,31
-102.52004,43.02615,22.8
-89.77364,43.52364,18.3
-83.3137,37.59133,22.2
17.161,46.689,14
19.401,51.724,9
-68.20806,48.60889,6
-123.40334,48.13943,11.7
80.18,12.994,30
-74.591,40.016,12
-96.29765,43.98538,17.4
-86.39018,31.30614,24.4
-96.93759,48.75243,13
-77.79251,36.77234,17
174.792,-37.008,17
-43.819,-16.705,21
-108.487,59.56,23.6
-104.758,39.713,21.7
24.069,54.962,12
-66.342,44.287,8.6
-92.82951,44.02024,16.5
-97.22114,34.70412,22.6
4.935,51.565,15
-141.16351,64.77614,13.3
-82.30889,42.99944,12
151.173,-33.946,18
29.701,37.785,12
-92.765,33.619,20
-40.286,-20.258,21
38.019,59.281,10
-119.06294,36.02735,33.3
131.449,31.877,22
-77.32269,42.90579,9.2
26.691,58.307,15
-81.873,32.193,23
-0.461,52.611,14
-113.76861,42.54525,26.1
-96.93,42.765,23
-63.17,46.344,6.9
27.926,-25.939,11
-91.44265,46.03027,17.2
-101.62432,40.51063,21.1
75.547,11.917,26
-116.982,32.544,19
-123.81441,45.42096,15
-39.081,-16.439,25
3.725,60.645,11
-94.50245,44.32275,18
-96.3239,29.60197,21.2
-90.7142,27.326,28
-85.90167,51.65861,18
-114.60777,32.66001,33.3
-86.526,30.483,26.9
2.105,41.521,17
-81.2479,41.20903,15.1
5.452,22.824,23
-105.1042,39.90085,22
116.965,31.99,23
-65.638,18.253,26.7
128.71,-15.781,28
-90.99151,38.58774,20
-67.253,45.21,8.4
-90.11011,42.04544,21.1
-98.084,49.188,13.3
-82.88142,34.67221,17.8
-4.852,41.706,15
2.846,57.111,12
-117.62486,33.97563,23.3
-81.15552,35.19682,15.6
-2.853,48.536,14
-79.01711,37.13991,13
-1.79,51.682,13.9
57.37,22.5,28
59.827,41.761,17
-99.743,29.21349,25.1
-90.40517,45.70637,15.1
-132.935,56.805,7.2
-97.86757,28.82673,25
24.86,42.064,15
-66.179,-17.421,14
16.8998,51.1032,14
-45.42,61.164,9
-75.29527,40.38641,9
-90.02898,30.04935,22.2
-98.85915,38.3405,21.7
-58.762,-27.445,10
-157.858,67.106,12.8
72.827,33.551,25
-75.825,8.826,26
136.407,36.394,21
-15.389,27.923,19
7.157,50.865,14
28.224,-25.654,11
-79.791,43.302,7.2
36.953,37.539,13
-105.25,20.68,30
-122.6775,53.88417,11
-120.61747,34.63296,15.9
12.104,67.527,9
-116.29302,48.72552,24
-112.57233,42.91969,25.6
23.867,44.31,16
7.828,48.369,15
-69.71139,43.96387,11.1
-114.482,49.628,18.3
-95.61888,33.16149,26.5
-94.50836,45.09485,15
-92.10208,30.56426,21
41.634,20.296,26
25.548,-25.798,8
-65.486,-24.856,9
-89.04491,35.21546,24
-95.90185,41.31186,23.3
22.831,58.991,12
-97.32,32.99,27.2
-156.92,64.738,12.8
-100.40462,35.89292,23
-72.86741,40.82122,10
3.22,53.218,13
-70.181,-20.535,19
71.468,51.024,12
-101.481,20.997,29
-127.36667,50.68056,12
-94.5466,29.1303,24
-49.176,-25.529,14
-83.98958,39.69352,19
-64.9175,44.98417,8
-81.69176,29.66019,26
-83.98572,35.81799,22.8
7.216,43.658,22
-92.74361,49.83139,10
-174.208,52.219,5.6
5.752,53.223,11
-157.344,-20.137,27
-159.33864,21.98047,25.6
-111.037,43.181,20
-77.522,37.407,15
-77.85,21.42,26
-86.41069,43.96143,15
-117.245,63.134,15.9
91.587,26.107,23
147.213,-41.544,14
37.261,55.592,11
-122.05269,37.99165,18.9
-59.492,13.075,26
-130.638,53.493,9.9
-116.1472,34.29398,31.1
-112.303,45.534,23
-34.923,-8.126,26
-117.6325,49.29639,27
23.677,70.681,5
-87.08931,45.72245,11.1
-57.39139,49.21111,7
10.386,32.312,18
-98.74154,27.35159,25.6
-99.96917,37.77106,22.2
-93.10412,34.47549,21.7
-0.456,49.18,14
-159.539,61.578,8.9
-82.03701,36.68715,18
